Run,Assay Type,BioSample,Center Name,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,AvgSpotLen,Bases,DATASTORE provider,DATASTORE region,BioProject,GEO_Accession (exp),source_name,Tissue,sex,AGE,Library Name,Cell_type,Biomaterial_provider,BioSampleModel,Cell_Line,Diagnosis,disease_state,brain_region,disease,SAMPLE_TYPE,gender,BMI,donor_age,donor_sex,RACE,siRNA
SRR2013794,Bisulfite-Seq,SAMN03611937,GEO,SRX1021598,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931228,GSM1677824,SRP050499,200,12353389400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677824,Gonadal Somatic Cells,,,,,,,,,,,,,,male,,,,,
SRR2013795,Bisulfite-Seq,SAMN03611938,GEO,SRX1021599,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931227,GSM1677825,SRP050499,300,3764234400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677825,Gonadal Somatic Cells,,,,,,,,,,,,,,male,,,,,
SRR2013800,Bisulfite-Seq,SAMN03611944,GEO,SRX1021605,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931220,GSM1677831,SRP050499,300,33652076700,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677831,Primordial Germ Cells,,,,,,,,,,,,,,female,,,,,
SRR2013803,Bisulfite-Seq,SAMN03611947,GEO,SRX1021608,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931217,GSM1677834,SRP050499,300,17202121500,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677834,Gonadal Somatic Cells,,,,,,,,,,,,,,female,,,,,
SRR2013805,Bisulfite-Seq,SAMN03611949,GEO,SRX1021610,Illumina HiSeq 2500,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2015-06-08T00:00:00Z,SRS931216,GSM1677836,SRP050499,250,61120818500,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA269154,GSM1677836,Primordial Germ Cells,,,,,,,,,,,,,,male,,,,,
SRR1067550,Bisulfite-Seq,SAMN01161890,BI,SRX259065,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360531,BioSam 706,SRP000996,200,33791961400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112820,,,male,,WGBS_Lib 20,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067551,Bisulfite-Seq,SAMN01161890,BI,SRX259065,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360531,BioSam 706,SRP000996,200,33854132400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112820,,,male,,WGBS_Lib 20,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067552,Bisulfite-Seq,SAMN01161890,BI,SRX259065,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360531,BioSam 706,SRP000996,200,33737234200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112820,,,male,,WGBS_Lib 20,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067553,Bisulfite-Seq,SAMN01161883,BI,SRX259066,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360524,BioSam 707,SRP000996,200,35743673800,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112821,,,male,,WGBS_Lib 21,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067554,Bisulfite-Seq,SAMN01161883,BI,SRX259066,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360524,BioSam 707,SRP000996,200,36565301000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112821,,,male,,WGBS_Lib 21,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067555,Bisulfite-Seq,SAMN01161883,BI,SRX259066,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360524,BioSam 707,SRP000996,200,35908242200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112821,,,male,,WGBS_Lib 21,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067556,Bisulfite-Seq,SAMN01161890,BI,SRX259065,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360531,BioSam 706,SRP000996,200,34187931000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112820,,,male,,WGBS_Lib 20,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067557,Bisulfite-Seq,SAMN01997280,BI,SRX259085,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406771,BioSam 806,SRP000996,200,33197087400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112840,,,male,,WGBS_Lib 26,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067558,Bisulfite-Seq,SAMN00857857,BI,SRX259087,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS309499,BioSam 577,SRP000996,200,36304961200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112842,,,male,,WGBS_Lib 25,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067559,Bisulfite-Seq,SAMN00857857,BI,SRX259087,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS309499,BioSam 577,SRP000996,200,36490837400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112842,,,male,,WGBS_Lib 25,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067560,Bisulfite-Seq,SAMN01997280,BI,SRX259085,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406771,BioSam 806,SRP000996,200,33186745600,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112840,,,male,,WGBS_Lib 26,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067561,Bisulfite-Seq,SAMN00857857,BI,SRX259087,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS309499,BioSam 577,SRP000996,200,36067162200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112842,,,male,,WGBS_Lib 25,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067562,Bisulfite-Seq,SAMN01997279,BI,SRX259086,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406770,BioSam 1122,SRP000996,200,29407474400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112841,,,male,,WGBS_Lib 39,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067563,Bisulfite-Seq,SAMN01997279,BI,SRX259086,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406770,BioSam 1122,SRP000996,200,33375965400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112841,,,male,,WGBS_Lib 39,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067564,Bisulfite-Seq,SAMN01997280,BI,SRX259085,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406771,BioSam 806,SRP000996,200,33800254200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112840,,,male,,WGBS_Lib 26,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067565,Bisulfite-Seq,SAMN01997279,BI,SRX259086,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406770,BioSam 1122,SRP000996,200,33469383000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112841,,,male,,WGBS_Lib 39,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067566,Bisulfite-Seq,SAMN00857856,BI,SRX259084,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS309498,BioSam 575,SRP000996,200,36820105200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112839,,,male,,WGBS_Lib 24,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067567,Bisulfite-Seq,SAMN01997280,BI,SRX259085,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406771,BioSam 806,SRP000996,200,33420378400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112840,,,male,,WGBS_Lib 26,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067568,Bisulfite-Seq,SAMN00857856,BI,SRX259084,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS309498,BioSam 575,SRP000996,200,36948888600,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112839,,,male,,WGBS_Lib 24,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067569,Bisulfite-Seq,SAMN00857856,BI,SRX259084,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS309498,BioSam 575,SRP000996,200,36759712200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112839,,,male,,WGBS_Lib 24,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067570,Bisulfite-Seq,SAMN00857856,BI,SRX259084,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS309498,BioSam 575,SRP000996,200,36423799600,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112839,,,male,,WGBS_Lib 24,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067571,Bisulfite-Seq,SAMN01161883,BI,SRX259095,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360524,BioSam 707,SRP000996,200,36763294200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112850,,,male,,WGBS_Lib 23,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067572,Bisulfite-Seq,SAMN01161883,BI,SRX259094,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360524,BioSam 707,SRP000996,200,34962005000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112849,,,male,,WGBS_Lib 22,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067573,Bisulfite-Seq,SAMN01161883,BI,SRX259095,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360524,BioSam 707,SRP000996,200,36780808600,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112850,,,male,,WGBS_Lib 23,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067574,Bisulfite-Seq,SAMN01161883,BI,SRX259094,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS360524,BioSam 707,SRP000996,200,35029849600,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112849,,,male,,WGBS_Lib 22,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067575,Bisulfite-Seq,SAMN01997281,BI,SRX259093,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406772,BioSam 705,SRP000996,200,39251431200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112848,,,male,,WGBS_Lib 19,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1067576,Bisulfite-Seq,SAMN01997281,BI,SRX259093,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406772,BioSam 705,SRP000996,200,39614041000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112848,,,male,,WGBS_Lib 19,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1067577,Bisulfite-Seq,SAMN01997281,BI,SRX259093,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406772,BioSam 705,SRP000996,200,39353889200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112848,,,male,,WGBS_Lib 19,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1067578,Bisulfite-Seq,SAMN01997280,BI,SRX259085,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS406771,BioSam 806,SRP000996,200,31318604200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1112840,,,male,,WGBS_Lib 26,,Harvard,,,,,,presumed normal,,,,,,,
SRR1067586,Bisulfite-Seq,SAMN02211821,BI,SRX312977,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS450533,BioSam 1119,SRP000996,200,38984525400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1172597,,,,,WGBS_Lib 34,,University of Washington,,,,,,presumed normal,,,,110.0 Days,,,
SRR1067587,Bisulfite-Seq,SAMN02211821,BI,SRX312977,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS450533,BioSam 1119,SRP000996,200,39113889800,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1172597,,,,,WGBS_Lib 34,,University of Washington,,,,,,presumed normal,,,,110.0 Days,,,
SRR1067588,Bisulfite-Seq,SAMN02211821,BI,SRX312977,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS450533,BioSam 1119,SRP000996,200,39130530600,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1172597,,,,,WGBS_Lib 34,,University of Washington,,,,,,presumed normal,,,,110.0 Days,,,
SRR1067591,Bisulfite-Seq,SAMN02211821,BI,SRX312977,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-02T00:00:00Z,SRS450533,BioSam 1119,SRP000996,200,38563845800,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1172597,,,,,WGBS_Lib 34,,University of Washington,,,,,,presumed normal,,,,110.0 Days,,,
SRR1143696,Bisulfite-Seq,SAMN00857854,BI,SRX142783,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-31T00:00:00Z,SRS309496,BioSam 311,SRP000996,195,48905968410,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916051,,,male,,WGBS_Lib 6,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1143697,Bisulfite-Seq,SAMN00857854,BI,SRX142783,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS309496,BioSam 311,SRP000996,195,49852911810,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916051,,,male,,WGBS_Lib 6,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1143698,Bisulfite-Seq,SAMN00113441,BI,SRX142784,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS114974,RO 01549,SRP000996,200,33666140200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916052,,,,,WGBS_Lib 16,CD34 Primary Cells,FHCRC HEIMFELD,,,,,,None,,,,33 years,female,,
SRR1143699,Bisulfite-Seq,SAMN00113441,BI,SRX142784,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS114974,RO 01549,SRP000996,200,33792672800,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916052,,,,,WGBS_Lib 16,CD34 Primary Cells,FHCRC HEIMFELD,,,,,,None,,,,33 years,female,,
SRR1143700,Bisulfite-Seq,SAMN00857854,BI,SRX142783,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS309496,BioSam 311,SRP000996,200,34303272200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916051,,,male,,WGBS_Lib 6,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1143701,Bisulfite-Seq,SAMN00113441,BI,SRX142784,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS114974,RO 01549,SRP000996,200,33391670200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916052,,,,,WGBS_Lib 16,CD34 Primary Cells,FHCRC HEIMFELD,,,,,,None,,,,33 years,female,,
SRR1143702,Bisulfite-Seq,SAMN00857854,BI,SRX142783,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS309496,BioSam 311,SRP000996,200,18904063200,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916051,,,male,,WGBS_Lib 6,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1143703,Bisulfite-Seq,SAMN00113441,BI,SRX142784,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS114974,RO 01549,SRP000996,200,33473806000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916052,,,,,WGBS_Lib 16,CD34 Primary Cells,FHCRC HEIMFELD,,,,,,None,,,,33 years,female,,
SRR1143704,Bisulfite-Seq,SAMN00857854,BI,SRX142783,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-24T00:00:00Z,SRS309496,BioSam 311,SRP000996,200,34950365000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM916051,,,male,,WGBS_Lib 6,CD184+ endoderm cultured cells,Harvard,,,,,,presumed normal,,,,,,,
SRR1033774,Bisulfite-Seq,SAMN02415113,"HUNTSMAN CANCER INSTITUTE, UNIVERSITY OF UTAH",SRX380396,Illumina Genome Analyzer,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2014-11-01T00:00:00Z,SRS504842,1sample_MCF7_1,SRP033201,200,29677812240,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA229387,,,,,,,,,,,,,,,,,,,,,
SRR1033801,Bisulfite-Seq,SAMN02415113,"HUNTSMAN CANCER INSTITUTE, UNIVERSITY OF UTAH",SRX380396,Illumina Genome Analyzer,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2014-11-01T00:00:00Z,SRS504842,1sample_MCF7_1,SRP033201,200,29812220266,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA229387,,,,,,,,,,,,,,,,,,,,,
SRR1033802,Bisulfite-Seq,SAMN02415113,"HUNTSMAN CANCER INSTITUTE, UNIVERSITY OF UTAH",SRX380396,Illumina Genome Analyzer,PAIRED,unspecified,GENOMIC,Homo sapiens,ILLUMINA,2014-11-01T00:00:00Z,SRS504842,1sample_MCF7_1,SRP033201,200,40828930266,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA229387,,,,,,,,,,,,,,,,,,,,,
SRR1104838,Bisulfite-Seq,SAMN02252542,BI,SRX323151,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-08T00:00:00Z,SRS458105,BioSam 1236,SRP000996,200,22371173400,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1186660,,,,,WGBS_Lib 61,adult CD3,UW,,,,,,presumed normal,,,,37.0 Years,Male,,
SRR1104840,Bisulfite-Seq,SAMN02252543,BI,SRX323158,Illumina HiSeq 2000,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2014-01-08T00:00:00Z,SRS458106,BioSam 1242,SRP000996,200,31776033000,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PRJNA34535,GSM1186667,,,,,WGBS_Lib 71,,University of Washington,,,,,,presumed normal,,,,98.0 Days,Female,,
