Sample,File,FileSeries
GSM4991896,GSM4991896_9007225062_R05C02,GSE163970
GSM4991897,GSM4991897_9007217014_R05C01,GSE163970
GSM4991898,GSM4991898_9305651142_R01C01,GSE163970
GSM4991899,GSM4991899_9305651120_R05C02,GSE163970
GSM4991900,GSM4991900_9305216187_R04C01,GSE163970
GSM4991901,GSM4991901_8655677054_R02C01,GSE163970
GSM4991902,GSM4991902_9007217159_R03C01,GSE163970
GSM4991903,GSM4991903_8454787121_R03C01,GSE163970
GSM4991904,GSM4991904_9007217014_R06C01,GSE163970
GSM4991905,GSM4991905_9305651101_R05C02,GSE163970
GSM4991906,GSM4991906_9007217013_R05C02,GSE163970
GSM4991907,GSM4991907_9305651033_R02C01,GSE163970
GSM4991908,GSM4991908_9007217014_R03C02,GSE163970
GSM4991909,GSM4991909_9007217018_R06C02,GSE163970
GSM4991910,GSM4991910_8363800021_R01C01,GSE163970
GSM4991911,GSM4991911_8454787121_R02C01,GSE163970
GSM4991912,GSM4991912_9020331181_R03C02,GSE163970
GSM4991913,GSM4991913_9305651030_R01C02,GSE163970
GSM4991914,GSM4991914_8655685080_R04C01,GSE163970
GSM4991915,GSM4991915_9305651198_R01C02,GSE163970
GSM4991916,GSM4991916_9305651103_R06C02,GSE163970
GSM4991917,GSM4991917_9305651030_R03C02,GSE163970
GSM4991918,GSM4991918_9305651198_R05C01,GSE163970
GSM4991919,GSM4991919_9305651059_R02C01,GSE163970
GSM4991920,GSM4991920_8363800021_R02C02,GSE163970
GSM4991921,GSM4991921_8454787096_R01C01,GSE163970
GSM4991922,GSM4991922_8359018058_R04C02,GSE163970
GSM4991923,GSM4991923_9305216187_R03C01,GSE163970
GSM4991924,GSM4991924_9305651033_R05C01,GSE163970
GSM4991925,GSM4991925_9343114175_R02C01,GSE163970
GSM4991926,GSM4991926_8454787096_R01C02,GSE163970
GSM4991927,GSM4991927_9020331181_R04C01,GSE163970
GSM4991928,GSM4991928_9007217018_R04C02,GSE163970
GSM4991929,GSM4991929_8655685081_R04C02,GSE163970
GSM4991930,GSM4991930_8655677131_R04C01,GSE163970
GSM4991931,GSM4991931_8454787096_R02C01,GSE163970
GSM4991932,GSM4991932_9305651059_R02C02,GSE163970
GSM4991933,GSM4991933_8454787089_R05C02,GSE163970
GSM4991934,GSM4991934_9305651198_R02C01,GSE163970
GSM4991935,GSM4991935_8963311008_R03C02,GSE163970
GSM4991936,GSM4991936_8655685081_R06C02,GSE163970
GSM4991937,GSM4991937_8454787096_R03C02,GSE163970
GSM4991938,GSM4991938_9305651081_R04C02,GSE163970
GSM4991939,GSM4991939_8454787089_R06C01,GSE163970
GSM4991940,GSM4991940_9305651033_R05C02,GSE163970
GSM4991941,GSM4991941_8454787042_R06C01,GSE163970
GSM4991942,GSM4991942_8963311124_R06C01,GSE163970
GSM4991943,GSM4991943_9007217014_R06C02,GSE163970
GSM4991944,GSM4991944_9305651110_R03C01,GSE163970
GSM4991945,GSM4991945_8454787089_R06C02,GSE163970
GSM4991946,GSM4991946_9007217014_R04C02,GSE163970
GSM4991947,GSM4991947_9305216140_R06C01,GSE163970
GSM4991948,GSM4991948_9007217013_R03C02,GSE163970
GSM4991949,GSM4991949_8963311053_R05C02,GSE163970
GSM4991950,GSM4991950_9305651142_R02C01,GSE163970
GSM4991951,GSM4991951_9305651101_R06C01,GSE163970
GSM4991952,GSM4991952_8655677131_R05C01,GSE163970
GSM4991953,GSM4991953_8655677137_R04C01,GSE163970
GSM4991954,GSM4991954_9007217159_R04C01,GSE163970
GSM4991955,GSM4991955_9007217014_R04C01,GSE163970
GSM4991956,GSM4991956_8655677054_R02C02,GSE163970
GSM4991957,GSM4991957_9305651067_R02C01,GSE163970
GSM4991958,GSM4991958_8963311008_R04C02,GSE163970
GSM4991959,GSM4991959_9020331181_R04C02,GSE163970
GSM4991960,GSM4991960_9007217133_R06C02,GSE163970
GSM4991961,GSM4991961_8454787096_R04C01,GSE163970
GSM4991962,GSM4991962_9305651142_R02C02,GSE163970
GSM4991963,GSM4991963_9305651101_R04C01,GSE163970
GSM4991964,GSM4991964_8454787042_R05C01,GSE163970
GSM4991965,GSM4991965_9305651059_R04C02,GSE163970
GSM4991966,GSM4991966_9305651110_R02C01,GSE163970
GSM4991967,GSM4991967_9305216187_R05C01,GSE163970
GSM4991968,GSM4991968_8454787096_R02C02,GSE163970
GSM4991969,GSM4991969_9305651067_R01C01,GSE163970
GSM4991970,GSM4991970_8655677054_R03C02,GSE163970
GSM4991971,GSM4991971_8963311008_R05C02,GSE163970
GSM4991972,GSM4991972_9305216140_R05C01,GSE163970
GSM4991973,GSM4991973_9305651033_R06C01,GSE163970
GSM4991974,GSM4991974_9305651198_R01C01,GSE163970
GSM4991975,GSM4991975_8454787096_R05C02,GSE163970
GSM4991976,GSM4991976_9007217013_R05C01,GSE163970
GSM4991977,GSM4991977_8655677131_R04C02,GSE163970
GSM4991978,GSM4991978_9305651198_R03C01,GSE163970
GSM4991979,GSM4991979_9305651081_R03C01,GSE163970
GSM4991980,GSM4991980_8963311053_R06C01,GSE163970
GSM4991981,GSM4991981_9305216187_R05C02,GSE163970
GSM4991982,GSM4991982_9305651120_R06C02,GSE163970
GSM4991983,GSM4991983_9305651198_R03C02,GSE163970
GSM4991984,GSM4991984_9305216140_R04C01,GSE163970
GSM4991985,GSM4991985_9007225051_R06C02,GSE163970
GSM4991986,GSM4991986_9305651142_R03C01,GSE163970
GSM4991987,GSM4991987_9305651033_R06C02,GSE163970
GSM4991988,GSM4991988_9305651067_R04C02,GSE163970
GSM4991989,GSM4991989_9007225051_R05C02,GSE163970
GSM4991990,GSM4991990_9305651033_R02C02,GSE163970
GSM4991991,GSM4991991_9007225011_R05C01,GSE163970
GSM4991992,GSM4991992_9007225011_R06C02,GSE163970
GSM4991993,GSM4991993_9007217014_R05C02,GSE163970
GSM4991994,GSM4991994_9305651198_R02C02,GSE163970
GSM4991995,GSM4991995_9007217013_R04C02,GSE163970
GSM4991996,GSM4991996_9305651120_R06C01,GSE163970
GSM4991997,GSM4991997_9305216187_R06C02,GSE163970
GSM4991998,GSM4991998_8667045135_R05C01,GSE163970
GSM4991999,GSM4991999_9305651030_R05C02,GSE163970
GSM4992000,GSM4992000_9305651036_R06C02,GSE163970
GSM4992001,GSM4992001_9007217013_R06C01,GSE163970
GSM4992002,GSM4992002_8454787082_R05C02,GSE163970
GSM4992003,GSM4992003_9305651110_R04C01,GSE163970
GSM4992004,GSM4992004_8454787042_R04C01,GSE163970
GSM4992005,GSM4992005_8454787121_R04C01,GSE163970
GSM4992006,GSM4992006_8655677054_R03C01,GSE163970
GSM4992007,GSM4992007_9007217018_R05C02,GSE163970
GSM4992008,GSM4992008_9305651059_R03C01,GSE163970
GSM4992009,GSM4992009_9305651101_R03C02,GSE163970
GSM4992010,GSM4992010_9305651033_R04C02,GSE163970
GSM4992011,GSM4992011_9007217013_R06C02,GSE163970
GSM4992012,GSM4992012_9305651082_R06C01,GSE163970
GSM4992013,GSM4992013_9007217159_R06C01,GSE163970
GSM4992014,GSM4992014_9305651101_R06C02,GSE163970
GSM4992015,GSM4992015_9305651081_R05C02,GSE163970
GSM4992016,GSM4992016_9007217159_R05C01,GSE163970
GSM4992017,GSM4992017_9305651120_R04C01,GSE163970
GSM4992018,GSM4992018_9305651081_R06C01,GSE163970
GSM4992019,GSM4992019_9305216140_R05C02,GSE163970
GSM4992020,GSM4992020_9305651081_R05C01,GSE163970
GSM4992021,GSM4992021_8363800021_R03C02,GSE163970
GSM4992022,GSM4992022_9020331181_R05C02,GSE163970
GSM4992023,GSM4992023_9305651067_R05C01,GSE163970
GSM4992024,GSM4992024_9305651059_R06C01,GSE163970
GSM4992025,GSM4992025_9305651101_R05C01,GSE163970
GSM4992026,GSM4992026_9305216187_R06C01,GSE163970
GSM4992027,GSM4992027_8454787089_R05C01,GSE163970
GSM4992028,GSM4992028_9305651142_R04C01,GSE163970
GSM4992029,GSM4992029_9305651142_R06C01,GSE163970
GSM4992030,GSM4992030_9305651033_R04C01,GSE163970
GSM4992031,GSM4992031_9305651059_R04C01,GSE163970
GSM4992032,GSM4992032_9305651030_R02C02,GSE163970
GSM4992033,GSM4992033_9305216140_R04C02,GSE163970
GSM4992034,GSM4992034_9305651198_R05C02,GSE163970
GSM4992035,GSM4992035_9305216140_R06C02,GSE163970
GSM4992036,GSM4992036_9305651198_R04C01,GSE163970
GSM4992037,GSM4992037_9305651198_R06C01,GSE163970
GSM4992038,GSM4992038_9020331181_R06C02,GSE163970
GSM4992039,GSM4992039_9007217159_R06C02,GSE163970
GSM4992040,GSM4992040_9305651059_R05C02,GSE163970
GSM4992041,GSM4992041_9007225051_R06C01,GSE163970
GSM4992042,GSM4992042_8963311124_R06C02,GSE163970
GSM4992043,GSM4992043_8667045061_R06C02,GSE163970
GSM4992044,GSM4992044_9305651198_R04C02,GSE163970
GSM4992045,GSM4992045_9305651067_R03C01,GSE163970
GSM4992046,GSM4992046_8454787082_R06C02,GSE163970
GSM4992047,GSM4992047_8667045135_R06C01,GSE163970
GSM4992048,GSM4992048_9305651067_R06C01,GSE163970
GSM4992049,GSM4992049_9305651120_R05C01,GSE163970
GSM4992050,GSM4992050_9305651081_R04C01,GSE163970
GSM4992051,GSM4992051_8655677079_R06C01,GSE163970
GSM4992052,GSM4992052_9305651081_R06C02,GSE163970
GSM4992053,GSM4992053_9305651101_R04C02,GSE163970
GSM4992054,GSM4992054_8363800015_R06C01,GSE163970
GSM4992055,GSM4992055_9305651021_R06C01,GSE163970
GSM4992056,GSM4992056_9305651033_R03C01,GSE163970
GSM4992057,GSM4992057_8359018083_R06C01,GSE163970
GSM4992058,GSM4992058_9305651067_R03C02,GSE163970
GSM4992059,GSM4992059_9305651059_R05C01,GSE163970
GSM4992060,GSM4992060_9305651059_R06C02,GSE163970
GSM4992061,GSM4992061_9305651067_R05C02,GSE163970
GSM4992062,GSM4992062_9305651142_R05C01,GSE163970
GSM4992063,GSM4992063_8454787042_R06C02,GSE163970
GSM4992064,GSM4992064_9305651198_R06C02,GSE163970
GSM4992065,GSM4992065_9007217056_R06C01,GSE163970
GSM4992066,GSM4992066_9305651021_R06C02,GSE163970
GSM4992067,GSM4992067_8454787121_R06C02,GSE163970
GSM4992068,GSM4992068_9305651067_R04C01,GSE163970
GSM4992069,GSM4992069_9305651067_R06C02,GSE163970
GSM3427600,GSM3427600_9904796176_R03C01,GSE121192
GSM3427601,GSM3427601_9904796176_R04C01,GSE121192
GSM3427602,GSM3427602_9904796176_R05C01,GSE121192
GSM3427603,GSM3427603_9904796176_R06C01,GSE121192
GSM3427614,GSM3427614_9904796176_R01C02,GSE121192
GSM3427615,GSM3427615_9904796176_R02C02,GSE121192
GSM3427616,GSM3427616_9904796176_R03C02,GSE121192
GSM3427617,GSM3427617_9904796176_R04C02,GSE121192
GSM3427618,GSM3427618_9904796176_R05C02,GSE121192
GSM3427619,GSM3427619_9904796176_R06C02,GSE121192
GSM3427630,GSM3427630_9904796192_R01C01,GSE121192
GSM3427631,GSM3427631_9904796192_R02C01,GSE121192
GSM3427632,GSM3427632_9904796192_R03C01,GSE121192
GSM3427633,GSM3427633_9904796192_R04C01,GSE121192
GSM3427634,GSM3427634_9904796192_R05C01,GSE121192
GSM3427635,GSM3427635_9904796192_R06C01,GSE121192
GSM2285503,GSM2285503_200123530161_R01C01,GSE85845
GSM2285504,GSM2285504_200123530161_R01C02,GSE85845
GSM2285505,GSM2285505_200123530161_R02C01,GSE85845
GSM2285506,GSM2285506_200123530161_R02C02,GSE85845
GSM2285507,GSM2285507_200123530161_R03C01,GSE85845
GSM2285508,GSM2285508_200123530161_R03C02,GSE85845
GSM2285509,GSM2285509_200123530161_R04C01,GSE85845
GSM2285510,GSM2285510_200123530161_R04C02,GSE85845
GSM2719518,GSM2719518_101032610054_R01C01,GSE101961
GSM2719519,GSM2719519_101032610054_R01C02,GSE101961
GSM2719520,GSM2719520_101032610054_R02C01,GSE101961
GSM2719521,GSM2719521_101032610054_R02C02,GSE101961
GSM2719522,GSM2719522_101032610054_R04C01,GSE101961
GSM2719523,GSM2719523_101032610054_R04C02,GSE101961
GSM2719524,GSM2719524_101032610054_R05C01,GSE101961
GSM2719525,GSM2719525_101032610054_R05C02,GSE101961
GSM2719526,GSM2719526_101032610054_R06C01,GSE101961
GSM2719527,GSM2719527_101032610118_R01C01,GSE101961
GSM2719528,GSM2719528_101032610118_R01C02,GSE101961
GSM2719529,GSM2719529_101032610118_R02C01,GSE101961
GSM2719530,GSM2719530_101032610118_R02C02,GSE101961
GSM2719531,GSM2719531_101032610118_R03C01,GSE101961
GSM2719532,GSM2719532_101032610118_R03C02,GSE101961
GSM2719533,GSM2719533_101032610118_R04C01,GSE101961
GSM2719534,GSM2719534_101032610118_R04C02,GSE101961
GSM2719535,GSM2719535_101032610118_R05C01,GSE101961
GSM2719536,GSM2719536_101032610118_R05C02,GSE101961
GSM2719537,GSM2719537_101032610118_R06C01,GSE101961
GSM2719538,GSM2719538_101032610118_R06C02,GSE101961
GSM2719539,GSM2719539_101274800034_R01C01,GSE101961
GSM2719540,GSM2719540_101274800034_R01C02,GSE101961
GSM2719541,GSM2719541_101274800034_R02C02,GSE101961
GSM2719542,GSM2719542_101274800034_R03C01,GSE101961
GSM2719543,GSM2719543_101274800034_R03C02,GSE101961
GSM2719544,GSM2719544_101274800034_R04C01,GSE101961
GSM2719545,GSM2719545_101274800034_R04C02,GSE101961
GSM2719546,GSM2719546_101274800034_R05C01,GSE101961
GSM2719547,GSM2719547_101274800034_R05C02,GSE101961
GSM2719548,GSM2719548_101274800034_R06C01,GSE101961
GSM2719549,GSM2719549_101274800034_R06C02,GSE101961
GSM2719550,GSM2719550_101274800036_R01C01,GSE101961
GSM2719551,GSM2719551_101274800036_R01C02,GSE101961
GSM2719552,GSM2719552_101274800036_R02C01,GSE101961
GSM2719553,GSM2719553_101274800036_R02C02,GSE101961
GSM2719554,GSM2719554_101274800036_R03C02,GSE101961
GSM2719555,GSM2719555_101274800036_R04C01,GSE101961
GSM2719556,GSM2719556_101274800036_R04C02,GSE101961
GSM2719557,GSM2719557_101274800036_R06C01,GSE101961
GSM2719558,GSM2719558_6055432002_R01C01,GSE101961
GSM2719559,GSM2719559_6055432002_R03C01,GSE101961
GSM2719560,GSM2719560_6055432002_R03C02,GSE101961
GSM2719561,GSM2719561_6055432002_R06C01,GSE101961
GSM2719562,GSM2719562_6055432002_R06C02,GSE101961
GSM2719563,GSM2719563_6055432004_R03C02,GSE101961
GSM2719564,GSM2719564_6055432004_R04C02,GSE101961
GSM2719565,GSM2719565_6055432004_R05C02,GSE101961
GSM2719566,GSM2719566_6055432007_R01C02,GSE101961
GSM2719567,GSM2719567_6055432007_R02C02,GSE101961
GSM2719568,GSM2719568_6055432007_R06C02,GSE101961
GSM2719569,GSM2719569_6055432010_R02C02,GSE101961
GSM2719570,GSM2719570_6055432010_R04C02,GSE101961
GSM2719571,GSM2719571_6055432010_R05C02,GSE101961
GSM2719572,GSM2719572_6055432013_R02C01,GSE101961
GSM2719573,GSM2719573_6055432013_R02C02,GSE101961
GSM2719574,GSM2719574_6055432016_R01C02,GSE101961
GSM2719575,GSM2719575_6055432016_R02C01,GSE101961
GSM2719576,GSM2719576_6055432016_R03C01,GSE101961
GSM2719577,GSM2719577_6055432016_R04C02,GSE101961
GSM2719578,GSM2719578_6055432017_R03C01,GSE101961
GSM2719579,GSM2719579_6055432017_R05C02,GSE101961
GSM2719580,GSM2719580_6055432017_R06C02,GSE101961
GSM2719581,GSM2719581_6055432019_R02C01,GSE101961
GSM2719582,GSM2719582_6055432019_R04C01,GSE101961
GSM2719583,GSM2719583_6055432019_R05C02,GSE101961
GSM2719584,GSM2719584_6055432020_R05C01,GSE101961
GSM2719585,GSM2719585_6055432020_R05C02,GSE101961
GSM2719586,GSM2719586_6055432025_R01C02,GSE101961
GSM2719587,GSM2719587_6055432025_R03C01,GSE101961
GSM2719588,GSM2719588_6055432025_R04C01,GSE101961
GSM2719589,GSM2719589_6055432025_R05C02,GSE101961
GSM2719590,GSM2719590_6055432028_R02C01,GSE101961
GSM2719591,GSM2719591_6055432028_R03C02,GSE101961
GSM2719592,GSM2719592_6055432028_R06C01,GSE101961
GSM2719593,GSM2719593_6055432030_R02C01,GSE101961
GSM2719594,GSM2719594_6055432030_R03C02,GSE101961
GSM2719595,GSM2719595_6055432030_R05C02,GSE101961
GSM2719596,GSM2719596_6055432032_R02C02,GSE101961
GSM2719597,GSM2719597_6055432032_R03C02,GSE101961
GSM2719598,GSM2719598_6055432032_R05C01,GSE101961
GSM2719599,GSM2719599_6055432033_R02C01,GSE101961
GSM2719600,GSM2719600_6055432033_R02C02,GSE101961
GSM2719601,GSM2719601_6055432033_R03C01,GSE101961
GSM2719602,GSM2719602_6055432041_R01C02,GSE101961
GSM2719603,GSM2719603_6055432041_R02C01,GSE101961
GSM2719604,GSM2719604_6055432041_R02C02,GSE101961
GSM2719605,GSM2719605_6055432041_R03C01,GSE101961
GSM2719606,GSM2719606_6055432041_R03C02,GSE101961
GSM2719607,GSM2719607_6055432041_R04C02,GSE101961
GSM2719608,GSM2719608_6055432042_R02C01,GSE101961
GSM2719609,GSM2719609_6055432042_R06C01,GSE101961
GSM2719610,GSM2719610_6055432045_R04C01,GSE101961
GSM2719611,GSM2719611_6055432045_R05C02,GSE101961
GSM2719612,GSM2719612_6055432045_R06C01,GSE101961
GSM2719613,GSM2719613_6055432052_R01C02,GSE101961
GSM2719614,GSM2719614_6055432052_R02C01,GSE101961
GSM2719615,GSM2719615_6055432052_R06C02,GSE101961
GSM2719616,GSM2719616_6055432053_R02C01,GSE101961
GSM2719617,GSM2719617_6055432053_R02C02,GSE101961
GSM2719618,GSM2719618_6055432053_R04C02,GSE101961
GSM2719619,GSM2719619_6055432053_R06C01,GSE101961
GSM2719620,GSM2719620_6055432059_R01C02,GSE101961
GSM2719621,GSM2719621_6055432059_R03C02,GSE101961
GSM2719622,GSM2719622_6055432059_R05C01,GSE101961
GSM2719623,GSM2719623_6055432059_R06C01,GSE101961
GSM2719624,GSM2719624_6055432061_R02C01,GSE101961
GSM2719625,GSM2719625_6055432061_R02C02,GSE101961
GSM2719626,GSM2719626_6055432061_R03C01,GSE101961
GSM2719627,GSM2719627_6055432061_R04C01,GSE101961
GSM2719628,GSM2719628_6055432064_R02C02,GSE101961
GSM2719629,GSM2719629_6055432064_R03C01,GSE101961
GSM2719630,GSM2719630_6055432064_R03C02,GSE101961
GSM2719631,GSM2719631_6055432064_R06C01,GSE101961
GSM2719632,GSM2719632_6055432064_R06C02,GSE101961
