Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,source_name,GEO_Accession (exp),Tissue,disease_state,Cell_type,Cell_Line,gender,AGE,SAMPLE_TYPE,sex,tissue_type,cohort,Treatment,Library Name,Biomaterial_provider,N,T,Group,Genotype,Replicate,etype,gtype,m,mtypehe,BioSampleModel,Isolate,gestational_age,instrument_model (run),karyotype,Passage,cancer_type,hepatic_zone,isolation,clustered_group,dmfd_class,tissues,Subject_ID,lineage,mother/newborn,sgRNA,Individual,library_prep_kit,Sample_Name,Developmental_Stage,disease,molecule_subtype,obese_status,body_type,Participant,subject_status,training_status,method,age_at_skin_biopsy,disease_status,disease_subtype,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),genotype/variation,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,Title,Time_point,tumorgenecity,Alias,Broker_name,ENA_checklist,organism,progenitor_cell_type,nact,recist,Storage_time,tissue_subtype,Condition,gestational_stage,Passages,BIOMATERIAL_TYPE,collection_method,donor_age,DONOR_ETHNICITY,DONOR_HEALTH_STATUS,donor_id,donor_sex,EXPERIMENT_TYPE (exp),EXTRACTION_PROTOCOL (exp),Molecule,sample_term_id,TISSUE_DEPOT,ipsc_clone_number,transduced_with,disease_stage,health_state,reprogramming_stage,5-azacytidine_status,facs_isolation_characteristic,gestation,Lane,protocol,rounds_of_in_vivo_selection,run,sample_input,cell_types,develpment_stage,digestion,medium,surface_antigen_enrichment,tissue_location,twin_pair,cell_status,Strain,transfected_with,infection_state,Experiment,PASSAGE_IF_EXPANDED,Stage,status,common_name,ENA-FIRST-PUBLIC,ENA_last_update,experiment_type,External_Id,FLT3-ITD_Status
SRR1777129,Bisulfite-Seq,202,1601570534,PRJNA273802,SAMN03298508,1121263912,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856873,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593809,SRP052901,human adult cancer cell,GSM1593809,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1777133,Bisulfite-Seq,202,2150011240,PRJNA273802,SAMN03298502,1448020802,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX856877,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2016-03-01T00:00:00Z,GSM1593813,SRP052901,human adult cancer cell,GSM1593813,liver cancer,,,,male,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2017564,Bisulfite-Seq,97,7507463065,PRJNA283827,SAMN03656372,4862717577,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1024155,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-09-30T00:00:00Z,GSM1682281,SRP058260,MCF-7_treated_with_ADM,GSM1682281,breast,,breast cancer,MCF-7,,,,,,,treated with ADM,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR2017565,Bisulfite-Seq,97,7552128615,PRJNA283827,SAMN03656373,4917000200,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1024156,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-09-30T00:00:00Z,GSM1682282,SRP058260,MCF-7_treated_with_PTX,GSM1682282,breast,,breast cancer,MCF-7,,,,,,,treated with PTX,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1182280,Bisulfite-Seq,196,23863795760,PRJNA239813,SAMN02671057,15052342643,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX480680,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-04-08T00:00:00Z,GSM1338341,SRP039350,twin 1_T21_fetal primary fibroblasts,GSM1338341,Fetal primary fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trisomy 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1182281,Bisulfite-Seq,196,20447375424,PRJNA239813,SAMN02671053,13024372832,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX480681,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-04-08T00:00:00Z,GSM1338342,SRP039350,twin 2_euploid_fetal primary fibroblasts,GSM1338342,Fetal primary fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eupoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1182513,Bisulfite-Seq,202,3644377950,PRJNA240062,SAMN02673070,2552773332,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX480927,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-08-21T00:00:00Z,GSM1339264,SRP039392,ovarian epithelial cell line,GSM1339264,ovarian epithelial,,immortalized but non-transformed ovarian epithelial cell line,T29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1182514,Bisulfite-Seq,202,3759410284,PRJNA240062,SAMN02673076,2636407037,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX480928,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-08-21T00:00:00Z,GSM1339265,SRP039392,ovarian epithelial cell line,GSM1339265,ovarian epithelial,,immortalized but non-transformed ovarian epithelial cell line,T29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1182516,Bisulfite-Seq,202,5407633324,PRJNA240062,SAMN02673074,3789932057,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX480930,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-08-21T00:00:00Z,GSM1339267,SRP039392,ovarian epithelial cell line,GSM1339267,ovarian epithelial,,RasV12-transformed human ovarian epithelial cell line,T29H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR611560,Bisulfite-Seq,58,2318070340,PRJNA179154,SAMN01801771,1795634358,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX203024,Illumina HiScanSQ,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2012-11-08T00:00:00Z,GSM1031207,SRP017090,Density centrifuged bone marrow,GSM1031207,,Primary diagnosis,,,,69,,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,negative
SRR611565,Bisulfite-Seq,57,1841135397,PRJNA179154,SAMN01801776,1358919655,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX203029,Illumina HiScanSQ,SINGLE,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2012-11-08T00:00:00Z,GSM1031212,SRP017090,Peripheral blood after G-CSF stimulation,GSM1031212,,Healthy donor cells,,,,26,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR629539,Bisulfite-Seq,102,5201229186,PRJNA183137,SAMN01823778,3367116794,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX209028,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2013-01-28T00:00:00Z,GSM1050102,SRP017458,Prostate cancer cell line,GSM1050102,,,,DU145 (purchased from ATCC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812641,Bisulfite-Seq,100,2542228300,PRJNA276004,SAMN03360421,1802110101,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885178,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614728,SRP055387,CLL primary B-cells,GSM1614728,Tumor,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812643,Bisulfite-Seq,100,2069215500,PRJNA276004,SAMN03360434,1497000360,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885180,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614730,SRP055387,CLL primary B-cells,GSM1614730,Tumor,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812663,Bisulfite-Seq,100,2619171300,PRJNA276004,SAMN03360420,1899427851,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885200,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614750,SRP055387,CLL primary B-cells,GSM1614750,Tumor,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812667,Bisulfite-Seq,100,814170800,PRJNA276004,SAMN03360430,624609810,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885204,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614754,SRP055387,CLL primary B-cells,GSM1614754,Tumor,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812670,Bisulfite-Seq,100,2553261500,PRJNA276004,SAMN03360410,1808456671,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885207,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614757,SRP055387,CLL primary B-cells,GSM1614757,Tumor,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812671,Bisulfite-Seq,100,1873361800,PRJNA276004,SAMN03360402,1385835769,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885208,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614758,SRP055387,Normal CD19+ B-cells,GSM1614758,Normal,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812673,Bisulfite-Seq,100,2436335000,PRJNA276004,SAMN03360407,1734185237,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885210,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614760,SRP055387,Normal Naïve B-cells,GSM1614760,Normal,,CD19+/ IgD+ naïve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812679,Bisulfite-Seq,100,3870288700,PRJNA276004,SAMN03360414,2555588202,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885216,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614766,SRP055387,Normal CD19+ B-cells,GSM1614766,Normal,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1812680,Bisulfite-Seq,100,3238039100,PRJNA276004,SAMN03360406,2135980257,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX885217,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2015-02-23T00:00:00Z,GSM1614767,SRP055387,Normal CD19+ B-cells,GSM1614767,Normal,,CD19+ B-cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1205869,Bisulfite-Seq,29,865629874,PRJNA34535,SAMN00691461,640603331,BI,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX142817,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-03-26T00:00:00Z,218,SRP000996,,GSM916085,,,,,,,,,Mid Frontal Lobe,,,RRBS_Lib 267 and RRBS_Lib 277,Rush University Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no AD evident at demise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Tissue,Post-Mortem,81.0 Years,NA,no AD evident at demise,149,male,DNA Methylation,"Standard Protocol (Smith et al., Methods 48, 226-232)",genomic DNA,UBERON_0006483,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1205870,Bisulfite-Seq,29,569701143,PRJNA34535,SAMN00857850,422109364,BI,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX142822,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-03-26T00:00:00Z,219,SRP000996,,GSM916090,,,,,,,,,Cingulate Gyrus,,,RRBS_Lib 268,Rush University Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no AD evident at demise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Tissue,Post-Mortem,81.0 Years,NA,no AD evident at demise,149,male,DNA Methylation,"Standard Protocol (Smith et al., Methods 48, 226-232)",genomic DNA,UBERON_0002967,Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
